episode,channel,x_m,y_m,outcome,theta_deg,stage
2,18,0.0,1850.0,no_signal,,sweep
2,18,-925.0,1602.15,no_signal,,sweep
2,18,-1602.15,925.0,no_signal,,sweep
2,18,-1850.0,0.0,no_signal,,sweep
2,18,-1602.15,-925.0,no_signal,,sweep
2,18,-925.0,-1602.15,no_signal,,sweep
2,18,-0.0,-1850.0,no_signal,,sweep
2,18,925.0,-1602.15,no_signal,,sweep
2,18,1602.15,-925.0,no_signal,,sweep
2,18,1850.0,0.0,no_signal,,sweep
2,18,1602.15,925.0,no_signal,,sweep
2,18,856.23,898.93,no_signal,,sweep
2,18,925.0,1602.15,no_signal,,sweep
2,19,0.0,0.0,no_signal,,sweep
2,19,961.27,-166.95,no_signal,,sweep
2,19,508.27,-848.27,no_signal,,sweep
2,19,-314.31,-931.09,no_signal,,sweep
2,19,-902.87,-372.0,no_signal,,sweep
2,19,-878.56,438.35,no_signal,,sweep
2,19,-234.57,967.4,direction,34.96,sweep
2,19,0.0,1850.0,direction,335.83,sweep
2,19,1602.15,925.0,no_signal,,sweep
2,19,856.23,898.93,direction,109.93,sweep
2,20,0.0,0.0,no_signal,,sweep
2,20,961.27,-166.95,no_signal,,sweep
2,20,508.27,-848.27,no_signal,,sweep
2,20,-314.31,-931.09,no_signal,,sweep
2,20,-902.87,-372.0,no_signal,,sweep
2,20,-878.56,438.35,no_signal,,sweep
2,20,-234.57,967.4,no_signal,,sweep
2,20,0.0,1850.0,no_signal,,sweep
2,20,-925.0,1602.15,no_signal,,sweep
2,20,-1602.15,925.0,no_signal,,sweep
2,20,-1850.0,0.0,no_signal,,sweep
2,20,-1602.15,-925.0,no_signal,,sweep
2,20,-925.0,-1602.15,no_signal,,sweep
2,20,-0.0,-1850.0,no_signal,,sweep
2,20,925.0,-1602.15,no_signal,,sweep
2,20,1602.15,-925.0,no_signal,,sweep
2,20,1850.0,0.0,no_signal,,sweep
2,20,1602.15,925.0,no_signal,,sweep
2,20,856.23,898.93,no_signal,,sweep
2,20,925.0,1602.15,no_signal,,sweep
3,1,0.0,0.0,no_signal,,sweep
3,1,961.27,-166.95,direction,260.67,sweep
3,1,508.27,-848.27,no_signal,,sweep
3,1,-314.31,-931.09,no_signal,,sweep
3,1,925.0,-1602.15,no_signal,,sweep
3,1,1602.15,-925.0,direction,168.52,sweep
3,2,0.0,0.0,direction,64.23,sweep
3,2,961.27,-166.95,no_signal,,sweep
3,2,-234.57,967.4,direction,341.92,sweep
3,2,0.0,1850.0,no_signal,,sweep
3,2,856.23,898.93,no_signal,,sweep
3,2,925.0,1602.15,no_signal,,sweep
3,3,0.0,0.0,direction,185.73,sweep
3,3,-314.31,-931.09,direction,130.64,sweep
3,3,-902.87,-372.0,direction,118.83,sweep
3,3,-878.56,438.35,direction,250.94,sweep
3,4,0.0,0.0,direction,149.98,sweep
3,4,-902.87,-372.0,direction,96.02,sweep
3,4,-878.56,438.35,direction,130.59,sweep
3,4,-234.57,967.4,direction,204.29,sweep
3,5,0.0,0.0,direction,213.78,sweep
